"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EST","QGDP","TOT","PC_CHGPP","Q","1995-Q2",-0.988347263,
"EST","QGDP","TOT","PC_CHGPP","Q","1995-Q3",-0.337687142,
"EST","QGDP","TOT","PC_CHGPP","Q","1995-Q4",1.169998152,
"EST","QGDP","TOT","PC_CHGPP","Q","1996-Q1",0.899311577,
"EST","QGDP","TOT","PC_CHGPP","Q","1996-Q2",1.702643328,
"EST","QGDP","TOT","PC_CHGPP","Q","1996-Q3",3.180537103,
"EST","QGDP","TOT","PC_CHGPP","Q","1996-Q4",2.032046512,
"EST","QGDP","TOT","PC_CHGPP","Q","1997-Q1",3.625719615,
"EST","QGDP","TOT","PC_CHGPP","Q","1997-Q2",4.20283231,
"EST","QGDP","TOT","PC_CHGPP","Q","1997-Q3",2.693309796,
"EST","QGDP","TOT","PC_CHGPP","Q","1997-Q4",3.131919316,
"EST","QGDP","TOT","PC_CHGPP","Q","1998-Q1",0.818748372,
"EST","QGDP","TOT","PC_CHGPP","Q","1998-Q2",-0.565284653,
"EST","QGDP","TOT","PC_CHGPP","Q","1998-Q3",-0.101683186,
"EST","QGDP","TOT","PC_CHGPP","Q","1998-Q4",-1.820648088,
"EST","QGDP","TOT","PC_CHGPP","Q","1999-Q1",-0.757954741,
"EST","QGDP","TOT","PC_CHGPP","Q","1999-Q2",0.877410388,
"EST","QGDP","TOT","PC_CHGPP","Q","1999-Q3",1.031389034,
"EST","QGDP","TOT","PC_CHGPP","Q","1999-Q4",2.589981296,
"EST","QGDP","TOT","PC_CHGPP","Q","2000-Q1",3.798031872,
"EST","QGDP","TOT","PC_CHGPP","Q","2000-Q2",2.50424957,
"EST","QGDP","TOT","PC_CHGPP","Q","2000-Q3",1.233839322,
"EST","QGDP","TOT","PC_CHGPP","Q","2000-Q4",2.249921687,
"EST","QGDP","TOT","PC_CHGPP","Q","2001-Q1",1.442800927,
"EST","QGDP","TOT","PC_CHGPP","Q","2001-Q2",0.124261479,
"EST","QGDP","TOT","PC_CHGPP","Q","2001-Q3",2.065121621,
"EST","QGDP","TOT","PC_CHGPP","Q","2001-Q4",1.467100671,
"EST","QGDP","TOT","PC_CHGPP","Q","2002-Q1",0.696997792,
"EST","QGDP","TOT","PC_CHGPP","Q","2002-Q2",3.497037891,
"EST","QGDP","TOT","PC_CHGPP","Q","2002-Q3",2.004469794,
"EST","QGDP","TOT","PC_CHGPP","Q","2002-Q4",0.732023221,
"EST","QGDP","TOT","PC_CHGPP","Q","2003-Q1",2.293806447,
"EST","QGDP","TOT","PC_CHGPP","Q","2003-Q2",2.315787229,
"EST","QGDP","TOT","PC_CHGPP","Q","2003-Q3",0.983523798,
"EST","QGDP","TOT","PC_CHGPP","Q","2003-Q4",2.611122236,
"EST","QGDP","TOT","PC_CHGPP","Q","2004-Q1",2.319419927,
"EST","QGDP","TOT","PC_CHGPP","Q","2004-Q2",-0.679884454,
"EST","QGDP","TOT","PC_CHGPP","Q","2004-Q3",2.26121503,
"EST","QGDP","TOT","PC_CHGPP","Q","2004-Q4",2.078209498,
"EST","QGDP","TOT","PC_CHGPP","Q","2005-Q1",1.755110566,
"EST","QGDP","TOT","PC_CHGPP","Q","2005-Q2",3.959739469,
"EST","QGDP","TOT","PC_CHGPP","Q","2005-Q3",2.394750282,
"EST","QGDP","TOT","PC_CHGPP","Q","2005-Q4",2.308987331,
"EST","QGDP","TOT","PC_CHGPP","Q","2006-Q1",2.29760219,
"EST","QGDP","TOT","PC_CHGPP","Q","2006-Q2",2.09473009,
"EST","QGDP","TOT","PC_CHGPP","Q","2006-Q3",2.290093259,
"EST","QGDP","TOT","PC_CHGPP","Q","2006-Q4",2.481034771,
"EST","QGDP","TOT","PC_CHGPP","Q","2007-Q1",3.315678428,
"EST","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.390301296,
"EST","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.201069,
"EST","QGDP","TOT","PC_CHGPP","Q","2007-Q4",-0.600339434,
"EST","QGDP","TOT","PC_CHGPP","Q","2008-Q1",-2.220161428,
"EST","QGDP","TOT","PC_CHGPP","Q","2008-Q2",1.015879253,
"EST","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.047696845,
"EST","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-11.798106289,
"EST","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-2.651968474,
"EST","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-3.374436088,
"EST","QGDP","TOT","PC_CHGPP","Q","2009-Q3",-1.967140931,
"EST","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.468827973,
"EST","QGDP","TOT","PC_CHGPP","Q","2010-Q1",1.378154136,
"EST","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.267532073,
"EST","QGDP","TOT","PC_CHGPP","Q","2010-Q3",1.465731595,
"EST","QGDP","TOT","PC_CHGPP","Q","2010-Q4",2.101125275,
"EST","QGDP","TOT","PC_CHGPP","Q","2011-Q1",2.027470432,
"EST","QGDP","TOT","PC_CHGPP","Q","2011-Q2",1.909176796,
"EST","QGDP","TOT","PC_CHGPP","Q","2011-Q3",1.67049427,
"EST","QGDP","TOT","PC_CHGPP","Q","2011-Q4",-0.032901499,
"EST","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.593753791,
"EST","QGDP","TOT","PC_CHGPP","Q","2012-Q2",1.226170166,
"EST","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.499929052,
"EST","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.888180808,
"EST","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.4792557,
"EST","QGDP","TOT","PC_CHGPP","Q","2013-Q2",-0.25655046,
"EST","QGDP","TOT","PC_CHGPP","Q","2013-Q3",-0.248682003,
"EST","QGDP","TOT","PC_CHGPP","Q","2013-Q4",-0.049911358,
"EST","QGDP","TOT","PC_CHGPP","Q","2014-Q1",1.641611403,
"EST","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.408103698,
"EST","QGDP","TOT","PC_CHGPP","Q","2014-Q3",1.340419095,
"EST","QGDP","TOT","PC_CHGPP","Q","2014-Q4",1.497656789,
"EST","QGDP","TOT","PC_CHGPP","Q","2015-Q1",-1.39681341,
"EST","QGDP","TOT","PC_CHGPP","Q","2015-Q2",1.972403513,
"EST","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.744795183,
"EST","QGDP","TOT","PC_CHGPP","Q","2015-Q4",-0.185256206,
"EST","QGDP","TOT","PC_CHGPP","Q","2016-Q1",1.623618926,
"EST","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.186148047,
"EST","QGDP","TOT","PC_CHGPP","Q","2016-Q3",1.114915252,
"EST","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.198226873,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.972458502,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.898642354,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.358932466,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q4",1.445376523,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.061719207,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.775124693,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.702069892,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.3218572,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.632823933,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.583418518,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.61141816,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.159558906,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.044844103,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.301769141,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.443141664,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.588225205,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q1",3.868640988,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q2",4.301437779,
"ESP","QGDP","TOT","PC_CHGPP","Q","1960-Q2",2.055865241,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1960-Q3",2.797368605,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1960-Q4",2.013018902,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1961-Q1",2.858310798,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1961-Q2",4.441130186,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1961-Q3",2.042474721,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1961-Q4",2.821708201,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1962-Q1",2.365594398,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1962-Q2",2.326175952,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1962-Q3",2.449012722,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1962-Q4",0.268262459,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1963-Q1",5.752952622,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1963-Q2",0.082890231,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1963-Q3",2.157735448,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1963-Q4",1.861635924,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1964-Q1",0.565485382,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1964-Q2",1.648014179,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1964-Q3",0.75129305,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1964-Q4",2.174160309,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1965-Q1",2.128162749,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1965-Q2",0.42662027,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1965-Q3",1.018033046,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1965-Q4",2.989390694,"E"
"ESP","QGDP","TOT","PC_CHGPP","Q","1966-Q1",-0.680517619,"E"
