"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","Q","1978-Q2",64.5198,
"AUS","EMP","TOT","PC_WKGPOP","Q","1978-Q3",64.36215,
"AUS","EMP","TOT","PC_WKGPOP","Q","1978-Q4",64.21537,
"AUS","EMP","TOT","PC_WKGPOP","Q","1979-Q1",64.18578,
"AUS","EMP","TOT","PC_WKGPOP","Q","1979-Q2",64.17709,
"AUS","EMP","TOT","PC_WKGPOP","Q","1979-Q3",64.25122,
"AUS","EMP","TOT","PC_WKGPOP","Q","1979-Q4",64.65098,
"AUS","EMP","TOT","PC_WKGPOP","Q","1980-Q1",64.90453,
"AUS","EMP","TOT","PC_WKGPOP","Q","1980-Q2",65.12174,
"AUS","EMP","TOT","PC_WKGPOP","Q","1980-Q3",65.33121,
"AUS","EMP","TOT","PC_WKGPOP","Q","1980-Q4",65.20846,
"AUS","EMP","TOT","PC_WKGPOP","Q","1981-Q1",65.29234,
"AUS","EMP","TOT","PC_WKGPOP","Q","1981-Q2",65.46723,
"AUS","EMP","TOT","PC_WKGPOP","Q","1981-Q3",65.41206,
"AUS","EMP","TOT","PC_WKGPOP","Q","1981-Q4",65.0527,
"AUS","EMP","TOT","PC_WKGPOP","Q","1982-Q1",65.01991,
"AUS","EMP","TOT","PC_WKGPOP","Q","1982-Q2",64.55674,
"AUS","EMP","TOT","PC_WKGPOP","Q","1982-Q3",63.94488,
"AUS","EMP","TOT","PC_WKGPOP","Q","1982-Q4",63.04248,
"AUS","EMP","TOT","PC_WKGPOP","Q","1983-Q1",62.13054,
"AUS","EMP","TOT","PC_WKGPOP","Q","1983-Q2",61.62514,
"AUS","EMP","TOT","PC_WKGPOP","Q","1983-Q3",61.73489,
"AUS","EMP","TOT","PC_WKGPOP","Q","1983-Q4",62.06968,
"AUS","EMP","TOT","PC_WKGPOP","Q","1984-Q1",62.35845,
"AUS","EMP","TOT","PC_WKGPOP","Q","1984-Q2",62.81897,
"AUS","EMP","TOT","PC_WKGPOP","Q","1984-Q3",62.9433,
"AUS","EMP","TOT","PC_WKGPOP","Q","1984-Q4",62.95519,
"AUS","EMP","TOT","PC_WKGPOP","Q","1985-Q1",63.17263,
"AUS","EMP","TOT","PC_WKGPOP","Q","1985-Q2",63.3257,
"AUS","EMP","TOT","PC_WKGPOP","Q","1985-Q3",63.89725,
"AUS","EMP","TOT","PC_WKGPOP","Q","1985-Q4",64.38685,
"AUS","EMP","TOT","PC_WKGPOP","Q","1986-Q1",64.77113,
"AUS","EMP","TOT","PC_WKGPOP","Q","1986-Q2",65.33949,
"AUS","EMP","TOT","PC_WKGPOP","Q","1986-Q3",65.10815,
"AUS","EMP","TOT","PC_WKGPOP","Q","1986-Q4",65.11491,
"AUS","EMP","TOT","PC_WKGPOP","Q","1987-Q1",65.04116,
"AUS","EMP","TOT","PC_WKGPOP","Q","1987-Q2",65.20258,
"AUS","EMP","TOT","PC_WKGPOP","Q","1987-Q3",65.39445,
"AUS","EMP","TOT","PC_WKGPOP","Q","1987-Q4",65.34969,
"AUS","EMP","TOT","PC_WKGPOP","Q","1988-Q1",66.03394,
"AUS","EMP","TOT","PC_WKGPOP","Q","1988-Q2",66.23785,
"AUS","EMP","TOT","PC_WKGPOP","Q","1988-Q3",66.51682,
"AUS","EMP","TOT","PC_WKGPOP","Q","1988-Q4",66.87789,
"AUS","EMP","TOT","PC_WKGPOP","Q","1989-Q1",67.50669,
