"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1959",1215.642,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1960",462.348,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1961",3909.565,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1962",1781.237,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1963",2718.851,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1964",75.24,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1965",-133.93,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1966",1398.158,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1967",602.954,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1968",1214.571,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1969",2971.877,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1970",4639.312,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1971",8314.222,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1972",8630.177,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1973",813.034,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1974",2776.823,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1975",5247.506,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1976",5016.884,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1977",7066.806,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1978",7309.361,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1979",9829.409,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1980",5232.37,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1981",2454.739,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1982",5617.699,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1983",6575.265,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1984",7180.54,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1985",9051.075,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1986",15816.696,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1987",16103.67,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1988",6238.792,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1989",6032.531,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1990",16129.658,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1991",20770.647,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1992",22752.008,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1993",26057.929,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1994",19805.556,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1995",25584.644,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1996",29117.145,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1997",25743.972,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1998",23309.426,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","1999",23540.136,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2000",35944.805,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2001",33721.343,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2002",20146.144,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2003",5447.803,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2004",-6934.126,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2005",-15216.78,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2006",-26711.882,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2007",-47296.169,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2008",-35957.27,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2009",-42691.374,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2010",-63890.682,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2011",-83336.099,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2012",-74078.229,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2013",-55893.848,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2014",-44085.999,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2015",-28390.261,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2016",-28131.222,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2017",-38167.47,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2018",-28307.381,
"AUS","TRADEGOODSERV","NTRADE","MLN_USD","A","2019",-11164.514,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1970",-3481.704,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1971",-3673.756,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1972",-4594.383,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1973",-6107.092,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1974",-5481.04,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1975",-4540.552,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1976",-7222.93,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1977",-9830.607,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1978",-6437.398,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1979",-6700.316,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1980",-7912.445,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1981",-5533.667,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1982",-3754.681,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1983",-5065.188,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1984",-4643.732,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1985",-3228.271,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1986",-3386.525,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1987",-3721.668,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1988",-4700.666,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1989",-4957.137,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1990",-4977.768,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1991",-6729.756,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1992",-7436.255,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1993",-4792.55,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1994",-8539.628,"E"
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1995",-8081.292,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1996",-8047.308,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1997",-5512.404,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1998",-3899.561,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","1999",-1701.516,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","2000",1657.823,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","2001",2439.087,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","2002",7522.986,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","2003",3843.375,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","2004",5063.662,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","2005",7091.518,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","2006",10164.924,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","2007",13954.799,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","2008",16261.42,
"AUT","TRADEGOODSERV","NTRADE","MLN_USD","A","2009",9819.322,
